Sr_no,DeviceId,TimeSent,DateSent,Receive_Time,Receive_Date,BatteryStatus,ChargingStatus,ChargingSupply,NetworkStatus,date_time_imei,TableTimeStamp,Parameter1,Parameter2,Parameter3,Parameter4,Parameter5,Parameter6,Parameter7,Parameter8,Parameter9,Parameter10,Parameter11,Parameter12,Parameter13,Parameter14,Parameter15,Parameter16,Parameter17,Parameter18,Parameter19,Parameter20,Parameter21,Parameter22,Parameter23,Parameter24,Parameter25,Parameter26,Parameter27,Parameter28,Parameter29,Parameter30,Parameter31,Parameter32,Parameter33,Parameter34,Parameter35,Parameter36,Parameter37,Parameter38,Parameter39,Parameter40,Parameter41,Parameter42,Parameter43,Parameter44,Parameter45,Parameter46,Parameter47,Parameter48,Parameter49,Parameter50,Parameter51,Parameter52,Parameter53,Parameter54,Parameter55,Parameter56,Parameter57,Parameter58,Parameter59,Parameter60,Parameter61,Parameter62,Parameter63,Parameter64,Parameter65,Parameter66,Parameter67,Parameter68,Parameter69,Parameter70,Parameter71,Parameter72,Parameter73,Parameter74,Parameter75,Parameter76,Parameter77,Parameter78,Parameter79,Parameter80,Parameter81,Parameter82,Parameter83,Parameter84,Parameter85,Parameter86,Parameter87,Parameter88,Parameter89,Parameter90,Parameter91,Parameter92,Parameter93,Parameter94,Parameter95,Parameter96,Parameter97,Parameter98,Parameter99,Parameter100,Parameter101,Parameter102,Parameter103,Parameter104,Parameter105,Parameter106,Parameter107,Parameter108,Parameter109,Parameter110,Parameter111,Parameter112,Parameter113,Parameter114,Parameter115,Parameter116,Parameter117,Parameter118,Parameter119,Parameter120,Parameter121,Parameter122,Parameter123,Parameter124,Parameter125,Parameter126,Parameter127,Parameter128,Parameter129,Parameter130,Parameter131,Parameter132,Parameter133,Parameter134,Parameter135,Parameter136,Parameter137,Parameter138,Parameter139,Parameter140,Parameter141,Parameter142,Parameter143,Parameter144,Parameter145,Parameter146,Parameter147,Parameter148,Parameter149,Parameter150,Parameter151,Parameter152,Parameter153,Parameter154,Parameter155,Parameter156,Parameter157,Parameter158,Parameter159,Parameter160,Parameter161,Parameter162,Parameter163,Parameter164,Parameter165,Parameter166,Parameter167,Parameter168,Parameter169,Parameter170,Parameter171,Parameter172,Parameter173,Parameter174,Parameter175,Parameter176
135549,200011512628130,00:00:02,2019-09-21,00:01:03,2019-09-21,4,1,1,4,"2019-9-21 0:0:2 200011512628130","2019-09-21 00:00:02",-5,5.7,13.9,24,230,0,0,0,0,0,1,0,0,0,0,0,1377,2,1,2,1,2,1,1,1,1,2,0,-5.5,28.4,10.8,23,225,0,0,0,0,0,0,0,0,0,0,0,761,1,2,1,2,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135550,200011512628130,00:02:02,2019-09-21,00:02:56,2019-09-21,4,1,1,4,"2019-9-21 0:2:2 200011512628130","2019-09-21 00:02:02",-5.2,5.3,13.9,24,228,0,0,0,0,0,1,1,0,0,0,0,1377,2,1,2,1,2,1,1,1,1,2,0,-5.6,28.3,11,23,225,0,0,0,0,0,0,0,0,0,0,0,761,1,2,1,2,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135551,200011512628130,00:04:02,2019-09-21,00:05:01,2019-09-21,4,1,1,4,"2019-9-21 0:4:2 200011512628130","2019-09-21 00:04:02",-5.2,5.2,14,24,229,0,0,0,0,0,1,0,0,0,0,0,1377,2,1,2,1,2,1,1,1,1,2,0,-5.5,28.2,11.1,23,225,0,0,0,0,0,0,0,0,0,0,0,761,1,2,1,2,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135552,200011512628130,00:06:02,2019-09-21,00:07:02,2019-09-21,4,1,1,4,"2019-9-21 0:6:2 200011512628130","2019-09-21 00:06:02",-5,5.5,14.2,24,229,0,0,0,0,0,1,0,0,0,0,0,1377,2,1,2,1,2,1,1,1,1,2,0,-5.5,28.1,11.4,23,225,0,0,0,0,0,0,0,0,0,0,0,761,1,2,1,2,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135553,200011512628130,00:08:02,2019-09-21,00:09:01,2019-09-21,4,1,1,4,"2019-9-21 0:8:2 200011512628130","2019-09-21 00:08:02",-5.2,5.7,14.2,24,229,0,0,0,0,0,1,0,0,0,0,0,1377,2,1,2,1,2,1,1,1,1,2,0,-5.6,28,11.5,23,225,0,0,0,0,0,0,0,0,0,0,0,761,1,2,1,2,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135554,200011512628130,00:10:02,2019-09-21,00:11:01,2019-09-21,4,1,1,4,"2019-9-21 0:10:2 200011512628130","2019-09-21 00:10:02",-5.1,5.8,14.4,24,229,0,0,0,0,0,1,0,0,0,0,0,1377,2,1,2,1,2,1,1,1,1,2,0,-5.5,27.9,11.7,23,225,0,0,0,0,0,0,0,0,0,0,0,761,1,2,1,2,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135555,200011512628130,00:12:02,2019-09-21,00:13:01,2019-09-21,4,1,1,4,"2019-9-21 0:12:2 200011512628130","2019-09-21 00:12:02",-5,5.8,14.4,24,229,0,0,0,0,0,1,0,0,0,0,0,1377,2,1,2,1,2,1,1,1,1,2,0,-5.6,27.8,11.8,23,224,0,0,0,0,0,0,0,0,0,0,0,761,1,2,1,2,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135556,200011512628130,00:14:02,2019-09-21,00:14:57,2019-09-21,4,1,1,4,"2019-9-21 0:14:2 200011512628130","2019-09-21 00:14:02",-5,5.8,14.5,24,229,0,0,0,0,0,1,0,0,0,0,0,1377,2,1,2,1,2,1,1,1,1,2,0,-5.6,27.7,11.9,23,225,0,0,0,0,0,0,0,0,0,0,0,761,1,2,1,2,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135557,200011512628130,00:16:02,2019-09-21,00:17:01,2019-09-21,4,1,1,4,"2019-9-21 0:16:2 200011512628130","2019-09-21 00:16:02",-5,5.8,14.8,24,230,0,0,0,0,0,1,1,0,0,0,0,1377,2,1,2,1,2,1,1,1,1,2,0,-5.4,27.6,12.1,23,225,0,0,0,0,0,0,0,0,0,0,0,761,1,2,1,2,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135558,200011512628130,00:18:02,2019-09-21,00:19:01,2019-09-21,4,1,1,4,"2019-9-21 0:18:2 200011512628130","2019-09-21 00:18:02",-5,5.3,14.9,24,229,0,0,0,0,0,1,1,0,0,0,0,1377,2,1,2,1,2,1,1,1,1,2,0,-5.5,27.5,12.2,23,225,0,0,0,0,0,0,0,0,0,0,0,761,1,2,1,2,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
